A   B   C   D   E     Code      SV    SM    AV    AM    Major

09  18  00  00  00     03       520   480   000   000   PLAW
06  10  01  00  00     02       590   430   000   000   PSY
12  22  02  04  04     04       630   540   000   000   PMED
12  22  02  00  00     04       430   480   000   000   MKT
12  14  02  00  00     03       000   000   000   000   BIOL
12  22  03  02  04     04       570   630   000   000   PMED
12  10  01  00  00     02       560   500   000   000   ASUD
09  25  02  00  00     04       000   000   000   000   PPHT
05  10  02  01  02     01       450   460   000   000   ASUD
11  19  01  01  03     03       380   370   000   000   CH E
10  16  02  00  00     03       420   450   000   000   ASUD
13  20  03  00  00     04       510   530   000   000   PNUR
06  10  04  00  02     02       590   450   000   000   PNUR
13  25  06  00  00     04       510   630   000   000   PLAW
10  22  02  00  00     03       470   550   000   000   PMED
10  03  01  00  00     02       000   000   000   000   PDEN
12  19  03  03  03     03       530   550   000   000   ACCT
13  24  04  03  05     05       530   490   000   000   PLAW
11  17  02  00  00     03       000   000   000   000   MD S
02  05  01  01  00     01       000   000   000   000   PROV
14  26  04  04  05     05       000   000   000   000   COBA
10  12  00  01  00     02       440   460   000   000   ARDS
11  19  02  02  01     03       000   000   000   000   ENUD
07  10  00  00  00     02       000   000   000   000   BAUD
06  13  01  00  00     02       000   000   000   000   EDEL
08  20  01  00  00     03       530   470   000   000   PNUR
10  07  00  00  00     02       420   430   000   000   TH A
03  11  00  01  01     01       440   370   000   000   ASUD
08  11  02  00  00     02       470   470   000   000   G ST
09  09  01  00  00     02       540   430   000   000   ETEC
08  20  03  00  00     03       430   530   000   000   ASUD
10  12  04  05  00     02       390   440   000   000   COMS
05  07  00  00  00     01       480   420   000   000   ASUD
13  23  04  00  00     04       570   550   000   000   PSY
07  15  03  01  02     02       390   370   000   000   ASUD
09  09  03  00  00     02       490   450   000   000   MD S
13  25  04  00  00     04       520   580   000   000   ASUD
12  26  01  00  00     04       470   450   000   000   BAUD
14  15  03  00  00     03       520   560   000   000   COBA
10  11  00  01  01     02       000   000   000   000   ASUD
12  27  03  01  00     04       000   000   000   000   PNUR
02  06  01  00  00     01       460   360   000   000   ESS
09  18  01  00  00     03       410   450   000   000   ASUD
14  28  05  05  06     07       630   630   000   000   ZOOL
11  11  01  00  00     02       510   440   000   000   PSY
12  21  02  04  02     03       000   000   000   000   ASUD
09  12  04  01  03     02       500   400   000   000   POCP
04  08  02  02  01     01       480   390   000   000   PPHT
14  21  01  00  00     04       590   540   000   000   BIOL
11  23  04  01  05     05       430   580   000   000   PDEN
10  10  03  00  00     02       000   000   000   000   ANSC
13  26  02  00  00     04       420   530   000   000   PSY
09  17  03  00  00     03       410   540   000   000   COBA
10  14  01  00  00     03       630   560   000   000   MCOM
12  17  02  02  03     03       610   500   000   000   C S
07  14  01  00  00     02       480   490   000   000   ASUD
11  14  02  00  00     03       400   460   000   000   BAUD
08  10  02  00  02     02       460   460   018   020   GEOS
12  19  01  02  02     03       590   560   000   000   BIOL
11  27  04  00  00     04       000   000   000   000   PDEN
09  11  03  00  00     02       000   000   000   000   ASUD
