A   B   C   D   E      Code

11  22  05  04  07      05
11  19  03  03  05      05
11  22  06  03  07      05
10  18  04  03  05      05
06  06  02  00  00      02
11  22  06  06  06      07
10  22  06  03  07      05
09  09  02  00  00      03
09  16  04  05  04      06
11  12  02  00  00      03
07  10  01  02  03      03
11  17  05  06  05      07
05  06  01  00  00      02
07  00  00  00  00      02
08  10  01  00  00      03
10  20  07  04  04      04
11  18  05  00  00      04
11  18  01  00  00      04
07  06  01  00  00      02
09  08  01  00  00      03
01  03  01  00  00      01
08  22  05  00  00      04
10  12  03  00  00      03
10  16  03  00  00      04
11  19  03  06  07      07
10  21  07  07  09      07
11  20  07  00  00      04
09  15  05  02  04      04
08  12  02  00  00      03
10  18  04  02  05      05
11  19  04  03  00      04
01  00  00  00  00      01
11  21  06  05  05      07
05  05  02  00  00      02
09  10  01  00  00      03
09  11  02  00  00      03
11  17  05  03  05      05
03  03  02  00  00      01
11  20  05  04  04      04
05  09  01  00  00      02
05  08  01  00  00      02
10  22  05  00  00      04
07  05  00  00  00      02
11  17  06  03  02      04
11  12  03  05  01      03
08  14  03  00  00      03
07  10  01  01  02      03
10  16  01  00  00      04
10  09  02  00  00      03
10  12  02  03  03      03
05  08  00  00  00      02
11  21  03  01  07      05
04  06  02  00  00      01
07  12  03  00  00      03
07  07  01  00  00      02
07  14  01  00  00      03
06  08  01  00  00      02
08  21  06  06  07      07
10  07  01  00  00      03
08  13  02  00  00      03
09  10  02  00  00      03
08  08  01  04  01      02
08  16  02  03  06      03
05  07  02  01  00      02
11  14  04  04  03      04
09  15  02  00  00      03
08  08  02  02  04      02
11  20  05  06  05      07
05  10  02  00  00      02
03  11  01  00  00      01
10  09  02  03  05      03
11  20  03  00  00      04
11  08  01  00  00      03
09  13  02  00  00      03
11  16  01  00  00      04
05  09  03  00  00      02
06  09  01  00  00      02
11  17  03  00  00      04
07  10  02  00  00      03
10  15  01  00  00      03
11  18  04  06  07      07
09  17  02  00  00      04
10  20  04  00  00      04
07  13  02  00  00      03
10  14  04  00  00      04
09  16  01  00  00      03
06  15  00  00  00      03
10  12  03  00  00      03
08  15  03  00  00      03
11  18  05  04  07      05
07  08  01  00  00      02
08  15  04  00  00      04
10  18  04  01  00      04
06  07  01  00  00      02
06  12  03  00  00      03
10  13  04  00  00      04
11  13  00  00  00      03
10  17  02  00  00      04
06  08  00  00  00      02
09  13  01  00  00      03
11  17  02  00  00      04
05  07  00  00  00      02
10  17  05  00  00      04
02  00  00  00  00      01
08  13  02  00  00      03
08  15  01  00  00      03
09  12  00  00  00      03
08  10  03  00  00      03
11  17  01  03  03      04
07  10  03  00  00      03
02  07  02  00  00      01
08  12  02  02  04      03
10  17  05  00  00      04
10  10  01  00  00      03
06  06  02  00  00      02
07  08  01  00  00      02
10  11  01  00  00      03
03  10  01  00  00      01
04  13  02  00  00      01
06  09  02  00  00      02
08  10  01  00  00      03
10  11  00  01  05      03
10  15  04  05  05      07
09  12  03  00  00      03
08  00  00  00  00      02
08  10  01  00  00      03
09  19  05  04  03      04
03  06  00  03  02      01
08  18  02  02  06      05
08  04  01  00  00      02
07  14  01  00  00      03
09  16  00  00  00      03
06  12  03  00  00      03
09  15  03  00  00      04
11  14  02  00  00      04
10  19  04  07  06      07
05  08  02  00  00      02
04  09  01  00  00      01
07  13  02  00  00      03
09  18  04  00  00      04
11  10  02  00  00      03
08  10  02  00  00      03
09  20  05  00  00      04
08  15  02  00  00      03
08  19  03  00  00      04
10  13  02  02  03      03
11  18  04  04  06      05
08  11  02  00  00      03
11  17  05  01  03      04
06  07  01  00  00      02
11  21  06  05  06      07
08  09  04  00  00      03
05  05  03  00  00      02
08  12  01  00  00      03
10  18  03  03  03      04
07  15  02  00  00      03
07  06  01  00  00      02
11  20  05  04  09      05
06  08  01  00  00      02
11  11  05  00  00      04
09  15  01  00  00      03
08  09  02  00  00      03
04  06  01  00  00      01
02  03  04  00  02      01
05  13  01  00  00      03
05  05  04  00  00      02
11  15  05  02  05      05
06  07  00  00  00      02
09  08  02  00  00      03
07  07  03  04  00      02
09  14  02  02  02      03
11  12  03  00  00      03
10  19  03  00  00      04
06  10  03  02  02      02
04  10  00  00  00      01
08  18  05  00  00      04
10  19  06  04  08      05
02  07  02  00  00      01
09  11  03  03  02      03
08  14  03  00  00      03
08  08  00  00  00      02
02  11  03  00  00      01
07  13  04  00  00      03
10  15  02  00  00      04
08  16  03  01  00      04
03  08  00  03  02      01
02  05  01  00  00      01
10  18  03  00  00      04
08  12  00  00  00      03
02  06  02  00  00      01
11  20  06  00  00      04
07  12  02  00  00      03
11  18  04  04  07      05
