A   B   C   D   E     Code      SV    SM    AV    AM    Major

10  17  02  00  00     03       390   470   000   000   E C
06  08  04  00  00     02       000   000   000   000   JOUR
14  30  06  07  04     06       490   600   000   000   M E
11  15  03  00  00     03       500   540   000   000   ACCT
09  16  05  00  00     03       450   560   000   000   COBA
10  23  06  00  00     04       490   490   000   000   JOUR
08  14  01  00  00     02       560   460   000   000   PSY
13  31  07  03  07     05       750   620   000   000   ENUD
10  19  01  00  00     03       480   490   000   000   PNUR
10  15  05  00  00     03       450   470   000   000   ASUD
08  18  02  00  00     03       440   380   000   000   E C
13  31  05  06  06     07       690   750   000   000   ARCE
09  14  02  00  00     03       530   490   000   000   PDEN
09  22  03  00  00     03       420   540   000   000   MIS
12  23  01  02  05     05       410   450   000   000   M E
14  29  06  05  08     07       650   670   026   031   M E
10  23  05  03  04     04       000   000   000   000   PMED
08  15  02  00  00     03       480   500   000   000   I D
14  31  08  07  09     07       690   710   027   032   I E
08  12  02  00  00     02       480   530   000   000   ARDS
02  09  01  00  00     01       000   000   000   000   PMED
10  15  03  00  00     03       570   480   000   000   ADV
12  20  02  02  03     03       580   570   000   000   E E
14  32  08  05  08     07       440   550   000   000   PPAR
07  17  02  00  00     03       600   520   027   021   ARCH                                         
09  14  00  00  00     03       560   530   000   000   PPHT                                         
11  21  05  02  02     04       000   000   000   000   M E                                          
14  28  05  04  04     04       560   540   000   000   CH E                                         
09  20  04  03  01     03       440   540   000   000   M E                                          
10  26  04  01  01     04       480   580   000   000   I E                                          
04  13  00  00  00     01       000   000   000   000   PDEN                                         
12  26  02  00  00     04       430   490   000   000   ASUD                                         
08  15  01  02  02     03       500   500   000   000   PDEN                                         
12  24  04  00  00     04       560   540   000   000   ADV                                          
10  11  04  00  00     02       540   430   000   000   COBA                                         
09  13  02  00  00     02       500   510   000   000   ADV                                          
04  07  03  02  01     01       410   470   000   000   RHIM                                         
13  21  05  00  00     04       560   530   000   000   I D                                          
06  12  01  00  00     02       440   570   000   000   ASUD                                         
13  18  04  00  00     03       610   500   000   000   I D                                          
05  11  03  03  05     01       590   560   000   000   MD S                                         
03  07  02  02  02     01       000   000   024   015   E C                                          
11  12  01  00  00     03       500   520   000   000   COBA                                         
14  27  02  00  00     04       560   560   000   000   MGT                                          
13  27  05  03  04     04       450   530   000   000   PSY                                          
14  27  03  03  02     04       590   570   000   000   PMED                                         
09  11  03  00  00     02       390   280   000   000   COBA                                         
10  06  03  02  02     02       540   590   000   000   M E                                          
08  19  02  00  00     03       000   000   000   000   FADS                                         
10  21  01  00  05     03       520   500   000   000   M E                                          
11  13  01  00  00     03       570   500   000   000   PPHT                                         
13  29  06  00  00     04       590   580   000   000   ARCH                                         
10  11  03  00  00     02       480   420   000   000   I D                                          
10  17  02  00  00     03       000   000   000   000   ACCT                                         
10  20  01  00  00     03       520   570   000   000   COBA                                         
11  10  02  00  00     02       520   510   000   000   COBA                                         
11  27  04  00  00     04       480   510   022   021   I D                                          
08  18  01  00  00     03       000   000   000   000   ASUD                                         
10  12  02  00  00     02       420   420   000   000   ASUD                                         
